----- -----------------
size of Priority Queue is: 1595
----- -----------------

Freq  Word
----- -----------------
00008 abilities
00007 ability
00013 abolish
00010 abolished
00008 abolition
00045 absolute
00021 absolutely
00008 absurdity
00010 accomplish
00007 accomplished
00050 according
00019 accordingly
00035 account
00012 accumulation
00007 accuracy
00016 accurate
00007 achaean
00011 achaeans
00010 acknowledge
00010 acknowledged
00010 acquaintance
00015 acquainted
00012 acquire
00015 acquired
00016 activity
00015 actually
00007 actuated
00011 adapted
00029 addition
00038 additional
00016 address
00007 addressed
00026 adequate
00008 adherence
00011 administer
00017 administered
00085 administration
00010 administrations
00016 admiralty
00015 admission
00041 admitted
00020 adopted
00022 adoption
00010 advance
00011 advanced
00007 advancement
00087 advantage
00048 advantages
00028 adversaries
00010 adverse
00007 advocate
00019 advocates
00064 affairs
00012 affected
00008 affection
00007 affections
00010 affirmative
00008 affirmed
00014 afforded
00012 affords
00013 afterwards
00340 against
00008 aggrandizement
00013 aggregate
00019 agreement
00013 agriculture
00013 alleged
00007 alliance
00013 alliances
00009 allotted
00015 allowed
00057 already
00007 alteration
00018 alterations
00008 alternative
00017 although
00036 altogether
00019 ambassadors
00046 ambition
00020 ambitious
00010 amendment
00011 amendments
00116 america
00031 american
00011 amounts
00008 analogy
00017 anarchy
00027 ancient
00010 animosities
00007 animosity
00007 annexed
00008 annually
00156 another
00013 answered
00007 answering
00009 answers
00007 antiquity
00007 anything
00008 apparent
00020 appeals
00021 appearance
00007 appearances
00016 appeared
00061 appears
00018 appellate
00033 applicable
00013 application
00019 applied
00013 appoint
00045 appointed
00022 appointing
00085 appointment
00040 appointments
00009 apportionment
00012 apprehend
00016 apprehended
00019 apprehension
00017 apprehensions
00010 approbation
00009 appropriated
00007 approved
00014 arbitrary
00013 archive
00009 arduous
00033 argument
00027 arguments
00028 arising
00009 aristocracy
00010 arrangement
00008 arrangements
00078 article
00074 articles
00012 ascertain
00010 ascertained
00008 assembled
00017 assemblies
00049 assembly
00007 asserted
00007 assertion
00016 assigned
00008 assistance
00018 associated
00014 association
00007 assumed
00007 atlantic
00013 attached
00017 attachment
00012 attachments
00009 attained
00009 attainment
00024 attempt
00015 attempted
00019 attempts
00025 attended
00063 attention
00009 augmentation
00042 authorities
00301 authority
00009 authorize
00018 authorized
00007 authorizes
00019 authors
00007 auxiliary
00012 avarice
00011 avoided
00010 balance
00014 barrier
00094 because
00014 becomes
00008 becoming
00015 behavior
00018 believe
00009 belonging
00010 beneficial
00017 benefit
00010 benefits
00019 besides
00010 betrayed
00255 between
00011 biennial
00009 binding
00007 blessings
00008 boundaries
00008 boundary
00049 branches
00007 breaches
00079 britain
00036 british
00034 brought
00007 burdens
00028 business
00013 calamities
00007 calculate
00035 calculated
00007 calculation
00009 cantons
00022 capable
00019 capacities
00032 capacity
00008 carefully
00020 carolina
00019 carried
00012 carrying
00007 carthage
00012 caution
00020 celebrated
00015 censure
00010 century
00101 certain
00032 certainly
00011 certainty
00009 chancery
00016 changes
00008 channels
00071 character
00007 characterize
00032 characters
00015 chargeable
00009 charged
00010 charles
00018 chiefly
00009 chimerical
00007 choosing
00008 circumspection
00043 circumstance
00115 circumstances
00027 citizen
00171 citizens
00007 claimed
00033 classes
00008 clauses
00035 clearly
00007 clothed
00007 coalition
